Symbol,Name,Sector,
AMD,Advanced Micro Devices, Inc.,
AAPL,Apple,Inc.,
T,AT&T,Inc.,
UBER,Uber Technologies, Inc.,
F,Ford Motor Company,Industrials,
CHGG,Chegg, Inc.,
BAC,Bank of America Corporation,Bank,
ITUB,Itaú Unibanco Holding S.A.,
NOK,Nokia Oyj,Information Technology,
NVDA,NVIDIA Corporation,Information Technology,
NIO,NIO Inc.,
FB,Meta Platforms, Information Technology,
INTC,Intel Corporation,Information Technology,
BBD,Banco Bradesco S.A.,
PBR,Petróleo Brasileiro S.A.-Petrobras,
NLY,Annaly Capital Management, Inc.,
ХОМ,Exxon Mobil Corporation,
PFE,Pfizer Inc.,Health Car,
VZ,Verizon Communications Inc.,
AMC,AMC Entertainment Holdings, Inc.,
VALE,Vale S.A.,
ABEV,Ambev S.A.,
AAL,American Airlines Group Inc.,
PLTR,Palantir Technologies Inc.,Information Technology,
SWN,Southwestern Energy Company,,